fitness, championships
0.8983, 1
0.9925, 2
0.99405, 1
0.89695, 0
0.98555, 1
0.99255, 13
0.92215, 2
0.9419, 1
0.91665, 4
0.9615, 3
0.90155, 10
0.9926, 22
0.92225, 3
0.9205, 2
0.9003, 2
0.9926, 9
0.95995, 4
0.989, 6
0.97785, 1
0.9777, 0
0.9916, 5
0.94495, 2
0.9929, 3
0.9886, 7
0.92925, 1
0.9955, 30
0.96055, 0
0.94745, 4
0.9934, 0
0.94555, 7
0.96965, 1
0.97975, 1
0.93735, 0
0.99395, 2
0.93685, 5
0.99075, 7
0.98605, 8
0.9663, 5
0.9084, 2
0.96725, 1
0.9851, 8
0.9842, 1
0.98745, 6
0.9905, 3
0.98215, 5
0.91185, 1
0.91655, 1
0.9875, 1
0.92845, 1
0.98685, 10
0.927, 3
0.9952, 9
0.92805, 0
0.99245, 5
0.98555, 4
0.937, 3
0.9571, 0
0.91645, 1
0.9886, 0
0.8931, 1
0.93375, 0
0.9787, 1
0.9347, 0
0.9849, 1
0.9885, 4
0.9805, 6
0.98045, 0
0.9876, 7
0.9119, 0
0.96555, 0
0.9825, 10
0.9857, 6
0.99665, 17
0.98885, 15
0.94485, 2
0.9559, 0
0.98535, 6
0.98905, 9
0.98695, 8
0.99275, 0
0.9672, 5
0.97065, 4
0.98845, 0
0.99235, 1
0.9938, 2
0.88085, 0
0.90825, 0
0.98225, 8
0.95175, 1
0.98235, 0
0.9909, 7
0.9945, 7
0.98745, 1
0.98485, 4
0.97665, 3
0.9682, 1
0.9923, 0
0.9937, 0
0.98785, 0
0.99065, 1
0.93175, 5
0.98655, 0
0.9874, 0
0.98655, 0
0.993, 5
0.9794, 0
0.94405, 0
0.989, 2
0.99215, 3
0.9289, 1
0.96435, 1
0.9396, 1
0.9574, 1
0.9896, 3
0.97565, 1
0.9549, 4
0.92235, 0
0.8877, 7
0.97615, 22
0.9855, 2
0.99685, 5
0.9943, 2
0.9147, 0
0.8962, 12
0.9865, 1
0.97075, 0
0.96285, 15
0.95585, 1
0.95715, 7
0.99095, 6
0.96395, 3
0.98755, 2
0.9907, 16
0.99205, 1
0.98905, 3
0.9138, 0
0.96655, 3
0.9869, 10
0.88975, 0
0.9403, 0
0.9645, 0
0.91675, 0
0.9623, 0
0.95435, 0
0.9915, 11
0.9669, 3
0.98955, 4
0.9894, 4
0.9926, 0
0.9221, 0
0.91945, 7
0.9919, 4
0.93765, 0
0.98115, 0
0.98955, 8
0.98635, 0
0.9555, 1
0.9485, 4
0.98985, 7
0.9518, 0
0.9924, 40
